梯子酒のOL,片思い女子高生,"梯子酒のOL「最近、何か特別なことはあった？」片思い女子高生「え、特別なことですか？うーん…」梯子酒のOL「もしかして、恋の話？」片思い女子高生「実は、気になる人がいるんです！」梯子酒のOL「それはいいね！どんな人なの？」片思い女子高生「優しくて、面白い人です！」梯子酒のOL「素敵！今度その人を紹介してね。」片思い女子高生「はい、ぜひ！」"
梯子酒のOL,さぼり癖のある営業職,"梯子酒のOL「最近、サボり癖は治った？」さぼり癖のある営業職「うーん、まだまだだね。」梯子酒のOL「そうか、たまにはサボるのも悪くないよ。」さぼり癖のある営業職「でも、仕事が溜まっちゃうんだよね。」梯子酒のOL「それなら、飲みに行くのはどう？」さぼり癖のある営業職「それはいいアイデアだ！」梯子酒のOL「リフレッシュして頑張ろう！」さぼり癖のある営業職「行こう！」"
梯子酒のOL,忙しいお母さん,"梯子酒のOL「最近、忙しい？」忙しいお母さん「毎日バタバタしてます！」梯子酒のOL「お疲れ様！たまには自分を労わってね。」忙しいお母さん「そうですね、でも子どもたちが…」梯子酒のOL「一緒に飲みに行こうよ！お母さんも楽しむ時間が必要だよ。」忙しいお母さん「本当に？嬉しいです！」梯子酒のOL「リフレッシュして、また頑張ろう！」忙しいお母さん「はい、行きましょう！」"
梯子酒のOL,結婚指輪を探してるOL,"梯子酒のOL「最近、結婚指輪はどう？」結婚指輪を探してるOL「まだ探してるの。でも、いいお店が見つからなくて。」梯子酒のOL「それなら、一緒に見に行こう！」結婚指輪を探してるOL「本当に？嬉しい！」梯子酒のOL「私もお手伝いするよ！」結婚指輪を探してるOL「ありがとう！助かるわ。」梯子酒のOL「素敵な指輪が見つかるといいね。」結婚指輪を探してるOL「頑張るわ！」"
梯子酒のOL,不倫中の音楽プロデューサー,"梯子酒のOL「最近、どう？」不倫中の音楽プロデューサー「ちょっと複雑な感じだな。」梯子酒のOL「どんなことがあったの？」不倫中の音楽プロデューサー「仕事にプライベートが絡んでしまって…」梯子酒のOL「それなら、飲んでリフレッシュしようよ！」不倫中の音楽プロデューサー「それはいい考えだ！」梯子酒のOL「楽しい時間を過ごそう！」不倫中の音楽プロデューサー「ありがとう、助かる！」"
梯子酒のOL,競馬好きなブロガー,"梯子酒のOL「最近、競馬はどう？」競馬好きなブロガー「ちょっと気になる馬がいるんだ。」梯子酒のOL「どの馬なの？」競馬好きなブロガー「今度のレースで注目してるよ。」梯子酒のOL「それなら、一緒に観戦しよう！」競馬好きなブロガー「いいね！その後に飲みに行こう。」梯子酒のOL「楽しみだね！」競馬好きなブロガー「絶対に楽しめるよ！」"
梯子酒のOL,定年する公務員,"梯子酒のOL「定年後はどうするの？」定年する公務員「旅行に行こうと思ってる。」梯子酒のOL「いいね！どこに行くの？」定年する公務員「まだ決めてないけど、温泉とか。」梯子酒のOL「それなら、飲みながら計画しよう！」定年する公務員「そうだな、楽しみながら考えよう！」梯子酒のOL「いい旅になるといいね！」定年する公務員「期待してるよ！」"
梯子酒のOL,アイドルオタク,"梯子酒のOL「最近のアイドルはどう？」アイドルオタク「ますます可愛くなってる！」梯子酒のOL「それなら、今度一緒にイベントに行こう！」アイドルオタク「本当に？楽しみ！」梯子酒のOL「その後は飲みに行こうね！」アイドルオタク「もちろん、最高の一日になる！」梯子酒のOL「新しい推しも見つかるかも！」アイドルオタク「それは楽しみだ！」"
梯子酒のOL,読書家の小学生,"梯子酒のOL「最近、どんな本読んでるの？」読書家の小学生「冒険ものが面白いよ！」梯子酒のOL「それはいいね！大人になったら、どんな本が好きになるかな？」読書家の小学生「大人の本も読んでみたい！」梯子酒のOL「今度一緒にカフェで本を読もう！」読書家の小学生「それ、楽しそう！」梯子酒のOL「その後はお茶でも飲もう！」読書家の小学生「うん、いいね！」"
梯子酒のOL,研究好きの小学生,"梯子酒のOL「最近の研究はどう？」研究好きの小学生「昆虫のことを調べてる！」梯子酒のOL「それは面白いね！どんなことがわかった？」研究好きの小学生「色んな種類の昆虫がいるよ！」梯子酒のOL「今度一緒に虫取りに行こう！」研究好きの小学生「それは楽しみ！」梯子酒のOL「その後は飲みながら話そう！」研究好きの小学生「大人になったら一緒に飲みたい！」"
梯子酒のOL,銀行勤務のOL,"梯子酒のOL「最近の仕事はどう？」銀行勤務のOL「忙しいけど、充実してる。」梯子酒のOL「それなら、たまには飲みに行こう！」銀行勤務のOL「いいね！リフレッシュが必要だ！」梯子酒のOL「お酒を飲みながらストレス解消しよう！」銀行勤務のOL「その通り！楽しみ！」梯子酒のOL「どんなお店がいい？」銀行勤務のOL「お洒落なバーがいいな。」"
梯子酒のOL,プロモーション好きのOL,"梯子酒のOL「最近のプロモーションはどう？」プロモーション好きのOL「楽しいけど、忙しい！」梯子酒のOL「その時は飲みに行こうよ！」プロモーション好きのOL「本当に？嬉しい！」梯子酒のOL「ストレス発散しないとね！」プロモーション好きのOL「そうだね、行こう！」梯子酒のOL「一緒に楽しもう！」プロモーション好きのOL「待ちきれない！」"
梯子酒のOL,一人が嬉しい専業主婦,"梯子酒のOL「一人の時間はどう？」一人が嬉しい専業主婦「とてもリラックスできる！」梯子酒のOL「それなら、たまには一緒に飲みに行こう！」一人が嬉しい専業主婦「本当に？楽しみ！」梯子酒のOL「自分を労わる時間も必要だよ！」一人が嬉しい専業主婦「そうですね、計画しましょう！」梯子酒のOL「リフレッシュして、また頑張ろう！」一人が嬉しい専業主婦「はい、行きましょう！」"
梯子酒のOL,女子会好きの人事総務,"梯子酒のOL「女子会の計画はどう？」女子会好きの人事総務「楽しい計画がいっぱい！」梯子酒のOL「その後は飲みに行こう！」女子会好きの人事総務「もちろん、楽しみ！」梯子酒のOL「お洒落なお店を見つけておくね。」女子会好きの人事総務「素敵なお店がいいな！」梯子酒のOL「それなら、私が探しておくよ！」女子会好きの人事総務「頼りにしてる！」"
梯子酒のOL,ネタに飢えてるYouTuber,"梯子酒のOL「最近、面白い動画は作れた？」ネタに飢えてるYouTuber「まだネタが不足してるんだ。」梯子酒のOL「それなら、飲みながらアイデアを出そう！」ネタに飢えてるYouTuber「それはいいアイデアだ！」梯子酒のOL「お酒を飲みながらなら、楽しい話が出るかも！」ネタに飢えてるYouTuber「そうだね、楽しみにしてる！」"
梯子酒のOL,健康的なデザイナー,"梯子酒のOL「最近、どんなデザインをしているの？」健康的なデザイナー「オーガニックな素材のデザインが多いよ。」梯子酒のOL「それは面白いね！今度一緒に飲みながら話そう！」健康的なデザイナー「いいね、リフレッシュしながらアイデアを出そう！」梯子酒のOL「新しい発見がありそうだ！」健康的なデザイナー「楽しみにしてる！」"
梯子酒のOL,年金暮らしのおじいさん,"梯子酒のOL「最近、年金生活はどう？」年金暮らしのおじいさん「のんびりしてるよ。」梯子酒のOL「それなら、今度一緒に飲みに行こう！」年金暮らしのおじいさん「いいね、楽しい時間が必要だ！」梯子酒のOL「若いころの話も聞かせて！」年金暮らしのおじいさん「もちろん、楽しい思い出を話そう！」"
